Categories,pos_input,pos_output,pos_explanation,neg_input,neg_output,neg_explanation
Coreference Resolution,sentence: I couldn't put the saucepan on the rack because it was too tall .pronoun: it. A) the saucepan B) the rack,the rack,"If the saucepan couldn't be put on the rack, the rack was probably taller than the person's reach. The pronoun ""it"" refers to the rack.","sentence: Joe and David's uncles can still beat them at tennis , even though they are 30 years younger .pronoun: they. A) joe and david B) joe and david's uncles",joe and david's uncles,"There're two clues for resolving this pronoun. First, one's uncle is not usually 30 years younger than them. Second, younger people are usualy better at sports. The expression ""even though"" shows that there's a certain surprise in the sentence, so the person with better tennis performance should be the older one."
Answerability Classification,"Sentence: GOP leaders submitted the new offer Tuesday afternoon in an effort to appease Democrats, whose votes are needed to avert a shutdown of federal agencies, several House and Senate aides said. Question: Who has to be appeased to keep the government open?",Yes.,"The sentence says that ""the Democrats"" have to be appeased, which answers the question. So, the correct label should be ""Yes"".","Sentence: GOP leaders submitted the new offer Tuesday afternoon in an effort to appease Democrats, whose votes are needed to avert a shutdown of federal agencies, several House and Senate aides said. Question: Who has to be appeased to keep the government open?",Democrats.,"Your response should only be ""yes"" or ""no"" based on whether information in the given sentence is enough to answer the given question or not. The correct response here would have been a ""Yes""."
Fact Verification,"Paragraph: While the financial costs of screening mammography&!1-positive recalls&biopsies were not included in the study,readers would benefit from being reminded that recall mammography&biopsies increase patient financial costs.This article leads with valuable information for all women over age 40 by stating “Getting screening mammograms every two years instead of annually reduces the chance of a!1 alarm,a new study shows.” Unfortunately the writer doesn’t quantify or elaborate adequately on that reduction.Instead,the writer later focuses on how women undergoing screening mammography shouldn’t be anxious if they experience a recall because over half of women who have screening mammograms for 10 years will be recalled.Readers would have been better served if the writer had emphasized the significant reduction in both recall mammograms&!1-positive biopsies in women who are screened every two years rather than annually.Part of the continuing controversy over screening mammography focuses on annual versus biennial screening.Because this study showed a significant reduction in the percentage of those recalled&needing biopsies among women who are screened every other year,with no statistically significant increase in late-stage diagnosis of breast cancer,the article should have emphasized those important findings.The piece states that the researchers noted that “…!1 positive recalls may cause inconvenience&anxiety and biopsies can cause pain and scarring.” This article fails to include several important facts about the study.1)This is a prospective cohort study of women screened between 1994-2006.2)Most of the mammograms were film rather than digital.3)Few women underwent screening for the entire 10 year period.4)Screening mammography recall rates are influenced by the skill of the radiologists who read the mammograms.There was no disease mongering.No independent experts were quoted.The story did an adequate job comparing – at a very high level – annual screening versus biennial screening.Screening mammography is widely available throughout the United States.The study did not examine a new procedure.There’s no evidence that the story relied solely on a news release. 
Claim: Annual Mammograms May Have More False-Positives",1,"This article reports on the results of a study of nearly 170,0 women who had screening mammograms beginning between age 40-59.The study found that over ten years of screening mammograms,over half of the women will experience a!1-positive recall for additional mammography.In addition,7%-9%of the women will have a biopsy for a suspicious lump which is not cancerous.Both of those percentages decrease if the woman is screened every other year rather than every year.Even with biennial mammography,41%of women will experience a recall over 10 years of mammography.The study’s Principal Investigator emphasized that “in most cases,a recall doesn’t mean you have cancer.” She hoped this knowledge would reduce the anxiety of women who are recalled.The story never explained the size of the decrease in the number of!1 positives between annual(61.3%) and biennial screening(41.6%).Our first two reviewers were a researcher who specializes in health decisions and a breast cancer survivor trained in evidence by the Natiional Breast Cancer Coalition’s Project LEAD.This study is valuable because it helps to quantify and compare the harms of annual and biennial screening,specifically the number of!1 positives and the number of unnecessary biopsies.Prior to this study,estimates of!1 positive screening mammography rates varied widely.The critical question is whether you can do less frequent screening,subject women to fewer harms and get similar results in terms of detection of “early stage” cancer.This study’s data seems to suggest that answer is yes.","Paragraph: The story does discuss costs,but the framing is problematic. The story,based on a conversation with one source,the study’s lead investigator,says,“It’s difficult at this point to predict costs. However,he expects costs will not approach those for Provenge,the pricey treatment vaccine for prostate cancer approved by the FDA in 2010. Provenge costs $93,0 for the one-month,three- dose treatment. Medicare covers it.” This tells readers that,no matter what the drug costs,Medicare likely will cover it. We appreciate the effort to bring cost information into the story,but this type of information is misleading. The story does explain that only one patient remains cancer free following the study. It then details how for most of the patients cancer continued to progress after 2 months. It says that the median overall survival in both the breast cancer and ovarian cancer patients was less than 16 months. But the story is framed in such a way to highlight the one potentially positive outcome of the study and to downplay the negative. We read more sooner about the one patient who may have responded well to the vaccine than we do about the 25 other patients who did not. The story mentions side effects in a satisfactory way. Technically,the story provides readers with much of the information they would need to assess the validity of the study,but it comes out in bits and pieces. For example,we only find out near the end of the story that “The woman,who remains disease-free,had a previous treatment with a different treatment vaccine. ‘That might have primed her immune system,’ Gulley speculates. She also had only one regimen of chemotherapy,perhaps keeping her immune system stronger.” This casts much doubt on the study’s design,and it would have been nice to have seen some outside expertise brought in to either discuss those design problems or to torpedo the story altogether. Again,the story deserves high marks for being very specific in the lead and throughout the story. It says,that the vaccine is “for breast and ovarian cancer that has spread to other parts of the body” in the lead and later details the particular circumstances of the study cohort. It says,“The patients had already undergone a variety of treatments but the cancer was progressing. Twenty one of the 26 had undergone three or more chemotherapy regimens.” This is the root of the story’s main shortcoming. Almost all of the information in the story comes from one source:Dr. James Gulley,who oversaw the study. Gulley is quite enthusiastic about this vaccine,despite the evidence,and the story needed more perspectives to put this vaccine into a broader context. At the very end,there are a few comments from Dr. Vincent K. Tuohy,who also is working on a breast cancer vaccine. Because of his competing research,he seems to have a conflict,but even putting that aside,his comments were not used to their best effect. There was no comparison in the story to existing alternatives. The median survival,for example,is presented without the context of how long these patients might have lived had they been undergoing standard chemotherapy and radiation treatments. We give high marks to the story for saying right in the lead that the findings are from “a preliminary study in 26 patients.” That tells readers both that the findings need to be interpreted with caution and that the treatment is not available to most people. The concept of vaccines for breast/ovarian cancer is indeed novel,and the story acknowledges that other vaccines are being studied. The story does not rely on a news release. 
Claim: Study: Vaccine for Breast, Ovarian Cancer Has Potential",0,"While the story does many things well,the overall framing of the story is that the vaccine “shows promise,” when the evidence actually points in the other direction.Because only one patient in the study remains cancer free and because that patient may very well have benefited from an earlier cancer vaccine and other complicating factors,we question the decision to write this story in the first place.Right now,there more than 10,0 cancer-related clinical trials recruiting patients.Cancer has foiled scientists repeatedly with treatments that initially seemed promising in the laboratory or in a very small group of people and later proved unworkable on a larger scale.It’s a difficult task — but a crucial one — for reporters to ask tough questions of the evidence and a wide range of sources before deciding whether one of these thousands of experimental treatment options merits coverage. This shows that the claim is True and the output is incorrect."
Wrong Candidate Generation,"Paragraph- Sent 1: It was hot that day.
Sent 2: The temperature on the wall of the backyard was showing something well over 100 F.
Sent 3: Meanwhile Tom, at home, was trying finish the remainder of carrots from last night, and packing for his trip to Chicago tomorrow.
Sent 4: As employees of the Art Museum, Tom and his older cousin often had to travel to Chicago. Question: What was the temperature outside, when Tom was eating carrots? Correct Answer: well over 100 F.",Not very hot.,"This is a good incorrect answer, as most of the the words of this answer appear in the the paragraph. They are also related to the content of the question (temperature), yet do not answer the question correctly. Consequently, one has to carefully read the paragraph understand that ""not very hot"" does not answer the question.","Paragraph- Sent 1: It was hot that day.
Sent 2: The temperature on the wall of the backyard was showing something well over 100 F.
Sent 3: Meanwhile Tom, at home, was trying finish the remainder of carrots from last night, and packing for his trip to Chicago tomorrow.
Sent 4: As employees of the Art Museum, Tom and his older cousin often had to travel to Chicago. Question: What was the temperature outside, when Tom was eating carrots? Correct Answer: well over 100 F.",Wall.,"This is a bad response. While it appears in the paragraph, one can easily determine that it doesn't align with the question (""Wall"" is not a ""temperature"")."
Question Understanding,"Context : Isaac Nicola Romero (1916 in Havana, Cuba -- 1997) was a prominent Cuban guitarist and one of the founders of the modern Cuban Guitar School. 
Question : What was Isaac Nicola's city of birth?",place of birth,The question is about the place of birth of the Isaac Nicola. Hence the output is relevant and valid,"Context : Faye Wong (born 8 August 1969) is a Chinese singer-songwriter and actress based in Hong Kong, often referred to as a ``diva'' in Hong Kong media. 
Question : When did Faye Wong born ?",sex or gender,Here the question is about the `date of birth` while the output relation is 'sex or gender' which is wrong. the question should have been something like 'Was Faye Wong male or female ?'. Hence this is a wrong output
Title Generation,"But Eluned Morgan conceded that it would be ""difficult for us to stop"" from a legal point of view. Her comments were criticised by a Labour AM. Alun Davies said threatening legal action ""sounds like the last breath before you're thrown out of the pub"". Mr Davies said he was not convinced the Welsh Government would ""have a leg to stand on"" in trying to shape international trade deals after Brexit. Following Donald Trump's comments during last week's trade visit that the NHS would be ""on the table"" in any future trade talks between the UK and the USA, Eluned Morgan said there was ""absolutely no prospect whatsoever of us allowing the Welsh NHS to be part of any negotiation."" The US President then rowed back on his initial comments following criticism from a number of MPs. Asked about her response to President Trump's remarks as she gave evidence to the Assembly's Brexit committee on Monday, Ms Morgan said ""legally, it would be difficult for us to stop because we don't have a veto over trade"". ""Politically, I think it's extremely unlikely to happen,"" the international relations and the Welsh language minister said. ""They [the UK Government] should not be concluding any trade agreements without consulting us where we have the power."" Ms Morgan explained that UK and Welsh government officials are working on an agreement or 'concordat' for how future trade deals are negotiated. During a robust exchange, the Labour AM Alun Davies said: ""I want something which is in law to which I can hold you to account and which colleagues in Westminster can hold the UK Government to account. ""The argument we'll make life difficult for them, it sounds alright on the street, but it's not the reality of intergovernmental relations."" ""The United Kingdom has to find a way of functioning. ""At the moment, your answers aren't giving me any confidence that there is that structure in place because, if the Welsh Government's argument is, 'we'll see you in court', it's not a very impressive argument either for the continuation of the structure of United Kingdom as a state or the commitment of the government within the United Kingdom to actually work together,"" he added. Responding to the criticism, Ms Morgan said: ""Is the current intergovernmental structure adequate? ""Absolutely not... and it's not just in relation to trade, it's in relation to almost every aspect of government policy. So, that infrastructure needs to be built.""",NHS Wales: Court action if trade deals affect service?,The output phrase is the appropriate title for the given text and it highlights the essence of the passage.,"Supporters followed on the radio and TV as Harrogate Town won the National League play-off final at Wembley. The result has been described as a ""superb lift"" for the spa town. Work to rip up the club's artificial pitch and replace it with grass, in keeping with league regulations, is expected to start later on Monday. Fan Brody Pattison joked that he wanted some of the artificial pitch in his back garden as a souvenir. He said: ""I can't thank the players enough, they're all heroes for this town, they're going to go down in history. ""We've come so far as a club in the last three or four years, we're a small town full of teashops and we're in the Football League."" Another Sulphurites supporter, Jack Wilkinson, said he woke up on Monday with a bottle of champagne and a huge sign saying ""we're going to Wembley"". He said: ""As soon as they scored the first goal, that's when the tears started and they didn't stop until full-time, I'm a grown adult crying over a football match. ""It makes the early mornings going to Dover, Yeovil, Torquay all worth it."" The Sulphurites also won the praise of what is possibly Harrogate's most famous institution, Bettys tearoom. A spokeswoman said: ""We've the kettle on and Fat Rascals (a kind of scone) in the oven. We're delighted to raise a toast to Simon Weaver and the winning Harrogate team."" Harrogate businessman Mark Noble was lucky enough to attend the game as a guest of the club. He said: ""The lads were all so proud, the support they've had all season was with them yesterday, the flags were up. ""Yesterday was a large key opening a large door, next season we're in that room and hopefully when Covid is over, all the supporters will all be there following the team."" Simon Cotton, who runs hotels and pubs in and around the town, said promotion was a ""superb lift"" for Harrogate after ""so many months of lockdown blues"". He said: ""Harrogate relies on visitor tourism and if more fans are travelling to see their teams then they're potentially going to stay in hotels in the town, go for a drink in the bars, have something to eat in the restaurants and buy something in the shops."" There have been calls for an open-top bus parade, although coronavirus restrictions mean this is unlikely. Harrogate Borough mayor Stuart Martin said: ""We've got to try and think of how best we can celebrate - under normal circumstances, wouldn't it have been nice to have a civic reception for them? - but there's no way we can do that under the current climate, it's just not feasible."" He said promotion was ""going to bring a real buzz to the town, to the district, to the county"" and would encourage more youngsters to get involved in sport. Lindsey Whitton, captain of Harrogate Town's women's team, said she hoped the club's recent success would inspire more girls to start playing football. She said: ""It's amazing, the profile of the club has just risen so much within 24 hours, not only for the men's team but it's going to have a massive impact on the women's team, the player development centre, the academy."" Follow BBC Yorkshire on Facebook, Twitter and Instagram. Send your story ideas to yorkslincs.news@bbc.co.uk or send video here.",Fan Brody Pattison joked that he wanted some of the artificial pitch in his back garden as a souvenir.,"This not an apt title beacause it doesn't correspond to the main idea of the text. ""Harrogate Town promotion a 'superb lift' after lockdown"" correspond to the main idea of the text and is a good title."
Wrong Candidate Generation,Sentence: Jacob and Benny are squatting at the gym. Jacob has thin frail legs and Benny has big strong legs. Question: Who squats less weight?,Benny,"Typically, people with thin frail legs squat less weight than people with big strong legs, so the incorrect answer is Benny.",Sentence: Suppose your neighbor John is playing music and your friend Nikos at the end of the street is also playing music. Question: Who's music will appear to be louder?,John,"Typically, the closer you are to the source of the sound, the louder the sound is. Since John lives closer, his music will appear to be louder. So the incorrect answer is Nikos."
Misc.,Aruba,North America,North America is the continent to which the country Aruba belongs.,Anguilla,Africa,"Africa is not the continent to which the country Anguilla belongs. However, North America is the continent to which the country Anguilla belongs."
Program Execution,hNarAik,hNrk,"The three vowels in the input 'a, 'A', and 'i' are removed.",BAaOAIIBfMj,BAaOAIIBfMj,The output is the same as the input even though there are vowels in the input. None of the vowels in the input string were removed.
Sentiment Analysis,"Review: These are junk! Both bulbs have burned out within a two month period!! I cannot believe that this company can be in business with such poor quality. I have used infrared lights for my ball python for many years now and I get a varied range of months from a bulb, but I have never gone through two bulbs in a matter of two months! I am very disappointed. 
 Polarity: negative",True,"The user seems very disappointed in the product because the bulb they ordered has been burned out earlier than usual. So, it's a negative review, and True is the correct answer.","Review: I am disappointed in this purchase. I bought one of these in another color and in size XL and it fit great. This one I bought in white in XL and it fits like a Medium. I cannot wear this top and am really disappointed about that, It is advertised as XL but seriously this top would only fit someone who would be a size s/m. An XXL would have been a better choice for me because the sizing is incorrect on this product. 
 Polarity: positive",True,It's a negative review. The user seem so dissatisfied with the product because the size didn't fit them. So false is the correct answer.
Question Generation,"I recently attempted to grill duck legs on my propane Webber. I was afraid of flare-ups due to the high fat content in the duck meat so I grilled with somewhat low and indirect heat. It took a long time, but I got them looking lovely and brown and not burned. The only problem was this: they were tough and didn't taste very good at all. Clearly I did something very wrong. Any advice?",Tips for grilling duck legs?,"A person gives a detailed description about grilling duck legs and the process they followed for the same. However, at the end the duck legs did not turn out well, so the person wants tips about how to properly grill duck legs. The question is summarized as Tips for grilling duck legs? for easy indexing next time someone searches for a similar query","just got back from a trip with 2 new bottles of campari and gin, then forgot them for 24 hours in the trunk of my car, in a hot day (30C degrees) :(Should I just throw them away? or are they still good?",Should I throw away my campari and gin?,A person gives a detailed description about a situation where they forgot the 2 bottles of campari and gin in the car and wants to know if they may have been spoiled due the heat. The output misinterprets the context and wrongly produces the question about throwing away the bottles without understanding why the person may want to throw the bottles away
Question Answering,where did france surrender ww2?,Mediterranean Sea,This is a good example and the output correctly answers the question.,where is the head office of hsbc bank?,Seattle,"The head office of hsbc bank is in New York City. So, the correct output should be ""New York City""."
Linguistic Probing,Sentence: 'two men in a room holding wii remotes'. Is 'remotes' the longest word in the sentence?,Yes,"The word 'remotes' has 7 letters which is the maximum in this sentence. So, the answer is 'Yes'.",Sentence: 'a woman accepts a wine pour at a festival'. Is 'wine' the longest word in the sentence?,Yes,"The word 'wine' has just 4 letters while the longest word 'festival' has 8 letters. So, the answer should have been 'No' instead of 'Yes'."
Word Semantics,able,unable,The output is correct as able and unable are opposities of each other in meaning.,abstract,disadvantageous,"Abstract and disadvantageous aren't opposite in meaning, as the opposite of abstract is concrete."
Program Execution,"['8129', 'a', '4245', '2391', 'Y', '7569']","8129, 1, 4245, 2391, 25, 7569","Here, the alphabets in the list are 'a' and 'Y', hence we replace them by their positions in the English alphabet '1' and '25', respectively in the input list to get '8129, 1, 4245, 2391, 25, 7569'.","['5367', 'w', 'X', '3467', 'g']","23, 24, 7","Here, the answer should have been '5367, 23, 24, 3467, 7' as the alphabets in the list are 'w', 'X', and 'g', hence we replace them by their positions in the English alphabet '23', '24', and '7', respectively in the input list to get '5367, 23, 24, 3467, 7'."
Question Generation,"Context : Isaac Nicola Romero (1916 in Havana, Cuba -- 1997) was a prominent Cuban guitarist and one of the founders of the modern Cuban Guitar School. 
Subject : Isaac Nicola 
Relation : place of birth",What was Isaac Nicola's city of birth?,Here the question is generated on Isaac Nicola Romero who is the subject and the relation of question to the context is about the place of birth of Isaac Nicola Romero. Hence generated question is correct,"Context : The Boeing 601 (sometimes referred to as the BSS-601, and previously as the HS-601) is a communications satellite bus introduced in 1987 by Hughes Space and Communications Company. 
Subject : Boeing 601 
Relation : service entry",What is Boeing 601?,This is a wrong output. Although the subject is Boeing 601. The relation of the output (generated question) is not service entry.
Word Relation Classification,"X: turtle, Y: flow",RANDOM,"Turtle and flow have no relation, so RANDOM is the correct label.","X: giraffe, Y: trade",COORD,"The correct relation is RANDOM, as they donot have any relationship, so COORD is incorrect."
Sentiment Analysis,"The sound seems really good but sometimes it cuts in and out which is annoying. You have to put the cord directly into your ipod. Other than that, its a simple design with nothing fancy. I love how cheap they were for 10 dollars... But overall nice design... No one can steal me earphones. lol thanks again amazon.",Good review,Here the review is good because it has positvie tone as the reviewer suggested it really likes the sound and the output is also Good Review.So this example is positive example,This is a terrific product. It does exactly as advertised and it was much less expensive here than at the store. Easy to attach & adjust both cameras from one DVR. We are buying 4 more of these for our other cameras. It looks like security personnel will now start to see us more often because they know how easy it is. Only drawback I could possibly come up with is that it's so sturdy we wonder if it needs some sort of tether attached to it. But no - it doesn't.,Bad review,Here the review is Good review as there is positive tone in the sentence but it has been output as Bad Review so this example is negative
Question Generation,Answer: victoria woodhull,who was the first women to run for presidency in the us?,The given answer directly answers the generated question,Answer: Infrared rays,X rays are in which part of the electromagnetic spectrum?,"The answer to the generated question is not the answer mentioned in the input, so this is a bad output."
Program Execution,"PPdQTlHHTJEe, DydQTlHHVnmlLu",dQTlHH,"Here, 'dQTlHH' is the longest common substring in both the input strings 'PPdQTlHHTJEe' and 'DydQTlHHVnmlLu'.","bueLCZaiEBNGJlkwMBZ, gFmuwsEBNGJlkwpdySJVR",EBNG,"Here, the answer should have been 'EBNGJlkw' as it is the longest common substring in both the input strings 'bueLCZaiEBNGJlkwMBZ', and 'gFmuwsEBNGJlkwpdySJVR'."
Word Analogy,jug : pour. shoe : ?,untie,The given analogy relates items to how they are manipulated. Jugs can be poured into. Shoes can be untied.,backpack : unzip. safe : ?,travel,"The given analogy relates items to how they are manipulated. Backpacks can be unzipped. Safes CANNOT be travelled, and so it not the correct answer."
Text Categorization,An unnamed third party does receive information about you not covered by our label scheme for an unspecified purpose.,Third Party Sharing/Collection,"The given policy text speaks of an unnamed third party which receives data, so the policy text is classified as 'Third Party Sharing/Collection'","The site collects your cookies or tracking elements for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",User Choice/Control,"The given policy text says the site it'self collects information from user, so the policy should be classified as 'First Party Collection/Use' and not 'User Choice/Control'"
Information Extraction,account can be used with the same meaning of report,account Synonym report,"The output is correct as the input describes the relationship between account and report, and the relation is that of having the same meaning, therefore they have a Synonym relationship.",act can be characterized by fun,act IsA fun,"Act is not a kind of fun, but is rather characterized by fun, therefore the correct relation should be HasProperty."
Dialogue Act Recognition,"Prompt: See, Arlene? That's why I don't talk to you like that because I'm afraid I'll scare our son. 
 Response 1: I have 12. Wait, is the key to a success story getting the number to go down? 
 Response 2: Oh, Dad. Even that wasn't great.",Response 2,Response 2 is correct answer because it agrees with the prompt and continues the conversation in the same context.,"Prompt: So you want obstacles to piloting the ship? 
 Response 1: Yeah, and more buttons and switches than we possibly could need. 
 Response 2: It's a security device for your breathing taint.",Response 2,This is incorrect answer. Because Response 2 is out of context and doesn't agree with the prompt.
Program Execution,"[2,4,5,6,4,8,9,10], target=10","[2,8]",2 and 8 are present in the list and sum to 10 which was the target sum,"[2,4,23,6,12,8,9,14], target=8","[2,4]",2 and 4 do not sum to 8 which was the target sum
Sentence Ordering,"Sentence1: He is happy now. Sentence2: Rick grew up in a troubled household. Sentence3: It wasn't long before Rick got shot in a robbery. Sentence4: The incident caused him to turn a new leaf. Sentence5: He never found good support in family, and turned to gangs.",25341,"Rick grew up in a troubled environment and that made him a join gang. However, one incident of getting caught turned his life.","Sentence1: He is happy now. Sentence2: Rick grew up in a troubled household. Sentence3: It wasn't long before Rick got shot in a robbery. Sentence4: The incident caused him to turn a new leaf. Sentence5: He never found good support in family, and turned to gangs.",25314,"The story describes Rick's early life scenario and then how he turned his life by one of the incident. So, the correct order is 25341."
Text Completion,"[header] How to create a christmas tree forest [title] Consider the type of tree you want to plant. [step] There are a wide variety of christmas trees and include fir, pine, spruce, cypress, and cedar. These trees thrive in different climates and look different from one another. <sep> (A) It is important to research the tree before setting up your tree to try it out to make sure you can write the tree's growing season so that you can get the most supplies you need. If you're just interested in having a tree stand out, then make sure to check for the following : [substeps] Spruce trees. (B) [substeps] Trees green may be used in a mix of green and evergreen. Greens, such as pintos and olive oil, may be more delicate than these. (C) Where the trees grow together is up to you. [substeps] Spruce trees light up the night for hours in the morning and drown out the morning sunrise between afternoons. (D) Think about where your tree forest will be located and choose a tree that can thrive in that climate. [substeps] Balsam firs are a popular christmas tree species that grow in the northern united states and canada, in hardiness zones 3-5 or states like minnesota, north dakota, and montana.",D,"This is a good example. Only option D is about Christmas trees. So, it's the correct option.",We see a lawnmower and a persons hand. A person starts the mower and it smokes. we <sep> (A) see the person start the mower again. (B) see the man mowing the lawn with a smoking mower. (C) see a piece of cloth on a tree in a yard. (D) see the person take the hose off the mower and run it through some weeds.,A,"After seeing the person starting the mower, we expect to see the man mowing the lawn with a smoking mower. So, option A is incorrect, and the correct answer is option B."
Sentence Composition,Sentence 1: Jon saw his friend Tom coming out of the grocery store with a bag of fruit. Sentence 2: Tom had not been in the store.,Tom had gone inside the store and now has fruit.,"Tom must have been inside the store to come out, and have fruit, so the altered sentence aggrees with sentence 1.",Sentence 1: There was an earthquake near San Francisco. Sentence 2: The earthquake's epicenter was in London.,People in downtown San Francisco were unable to stand.,"If the earthquake is of low magnitude, it is not necessary that it should cause people to fall, so this sentence doesn't necessarily aggree with sentence 1."
Answerability Classification,"Sentence: Jack played basketball for an hour after school, after which he was very tired. 
Question: How long did Jack play basketball?",Yes.,The answer to this question (an hour)  lies in its text.,"Sentence: Jack played basketball after school, after which he was very tired. 
Question: How long did Jack play basketball?",No.,The answer to this question is not present in its text and it requires commonsense to answer.
Text Completion,"Prompt: Im 99 percent sure it was someone being an 
Completion A: accomplice , or maybe just plain old con man . whatever it was , it 's over . "" 
Completion B: asshole, your right?) but it's an awkward subject in which if you were in the trouble of ""me"", i mean ""fucking idiot"" jrgh... i dunno...I guess you are (in a legal context) not a stupid",Completion A,"This prompt-completion pair is stylistically more similar because the prompt and completion have a similar tone, word choice, grammar, and sentence structure.","Prompt: Im 99 percent sure it was someone being an 
Completion A: accomplice , or maybe just plain old con man . whatever it was , it 's over . "" 
Completion B: asshole, your right?) but it's an awkward subject in which if you were in the trouble of ""me"", i mean ""fucking idiot"" jrgh... i dunno...I guess you are (in a legal context) not a stupid",Completion B,This prompt-completion pair is stylistically less similar because the completion is nonsensical compared to the prompt.
Sentiment Analysis,tormented by the quickened blood of roots,negative,"There is an expression of sadness in this poem text, hence it is negative.",the beauty and the joy of their renewed might.,negative,"There is an expression of happiness in this poem text, but it is incorrectly labeled as negative, it should be positive."
Question Answering,"a multiple choice test consists of 4 questions, and each question has 5 answer choices. in how many r ways can the test be completed if every question is unanswered ?",625,"Total r of 5 * 5 * 5 * 5 = 5 ^ 4 = 625 ways to answer all of them. Therefore, the answer is 625.","if x and y are positive integers and 7 + x + y + xy = 21, what is the value of x + y ?",9,"For a: 7 + 3 + xy = 21 ; xy = 11 ( impossible , 11 prime number . 1 + 11 does n ' t equal 3 ) for b : 7 + 5 + xy = 21 ; xy = 9 ( no combination of xy = 9 and x + y = 5 ) for c : 7 + 6 + xy = 21 ; xy = 8 ( x + y = 6 ; x = 2 , y = 4 or x = 4 , y = 2 ) for d : 7 + 8 + xy = 21 ; xy = 6 ( no combination of xy = 6 and x + y = 8 ) for e : 7 + 9 + xy = 21 ; xy = 5 ( impossible , 5 prime number . 1 + 5 does n ' t equal 9 ). Therefore, the answer is not 9."
Question Answering," What can murtis be translated as?
(A)Offerings (B)Prayers (C)Apparitions (D)Idols",D,Murtis can be translated as Idols," What can murtis be translated as?
(A)Offerings (B)Prayers (C)Apparitions (D)Idols",I dont know.,"Do not generate anything else apart from one of the following characters: 'A', 'B, 'C', 'D'."
Question Answering,"statement: Neurons deliver electrical impulses to other cells, question: What do neurons deliver to other cells?",Electrical impulses,The answer generated is correct with respect to the question and the statement,"statement: Two lenses to produce magnified images allow for detailed observation of stars., question: Two lenses to produce magnified images allow for what?",Barack Obama,"The example is incorrect, as the answer generated is not related to the statement or question"
Question Generation,"Article: Homework can put you in a badmood , and that might actually be a good thing. Researchers from the University of Plymouth in England doubted whether mood might affect the way kids learn. To find out the answer, they did two experiments with children. The first experiment tested 30 kids. Someshapes were hidden inside a different, larger picture. The kids had to find the small shapes while sitting in a room with either cheerful or sad music playing in the background. To test their mood, the scientists asked the kids to point to one of five faces, from happy to sad. Children who listened to cheerful music tended to point to the smiley faces while the others pointed to the unhappy ones. The researchers found that sad kids took at least a second less to find the small shapes. They also found an average of three or four more shapes. In the second experiment, 61 children watched one of two scenes from a film. One scene was happy, and the other was sad. Just like in the first experiment, kids who saw the sad scene acted better compared to the others. The researchers guessed that feeling down makes people more likely to focus on a problem or difficult situation. Not all scientists agree with them, however. Other studies argued that maybe, that cheerful music in the first experiment distracted kids from finding shapes. While scientists work on finding out the answers, it still might be wise to choose when to do your tasks according to your mood. After eating a delicious ice cream, for example, write an essay. 
 Answer: whether mood affects their learning ability",Researchers did experiments on kids in order to find out _ .,It is clearly mentioned in the article that to the check effect of mood on children is the main purpose of the experiment.,"Article: Homework can put you in a badmood , and that might actually be a good thing. Researchers from the University of Plymouth in England doubted whether mood might affect the way kids learn. To find out the answer, they did two experiments with children. The first experiment tested 30 kids. Someshapes were hidden inside a different, larger picture. The kids had to find the small shapes while sitting in a room with either cheerful or sad music playing in the background. To test their mood, the scientists asked the kids to point to one of five faces, from happy to sad. Children who listened to cheerful music tended to point to the smiley faces while the others pointed to the unhappy ones. The researchers found that sad kids took at least a second less to find the small shapes. They also found an average of three or four more shapes. In the second experiment, 61 children watched one of two scenes from a film. One scene was happy, and the other was sad. Just like in the first experiment, kids who saw the sad scene acted better compared to the others. The researchers guessed that feeling down makes people more likely to focus on a problem or difficult situation. Not all scientists agree with them, however. Other studies argued that maybe, that cheerful music in the first experiment distracted kids from finding shapes. While scientists work on finding out the answers, it still might be wise to choose when to do your tasks according to your mood. After eating a delicious ice cream, for example, write an essay. 
 Answer: whether mood affects their learning ability",Researchers did experiments on adults in order to find out _ .,Researchers did not perform experiments on adults but they did on children (kids).
Textual Entailment,"Statement: Next to the MGM Grand you will find M and M World, four stories of merchandise and memorabilia dedicated to the candy that doesn't melt in your hand. Choices: 1. The candy has many fans who love its attractions. 2. There's four stories of memorabilia dedicated to a candy. 3. That particular candy melts and becomes difficult to eat.",1,"The candy may or may not be popular and the first choice is correct. Based on the statement, candy doesn't melt and there's four stories of memorabilia dedicated to a candy. So the second choice agrees with the statement and the third choice disagrees with the statement.","Statement: In 1994, fraction of households owning a personal computer is 0.25. Choices: 1. In 1994, 0.25 of households owned a PC, which was a high sum at the time. 2. In 1984, 0.8 of households owned a PC. In 1994, 0.25 of households owned a PC.",3,"The choice and statement both clearly fully agree that 0.25 of all households had PCs in 1994, hence choice 3 is incorrect."
