Categories,pos_input,pos_output,pos_explanation,neg_input,neg_output,neg_explanation
Named Entity Recognition,"At least Raheem Morris finally has the name of the Bucs' starting quarterback in the back of his mind.
 He wants to make sure he made the decision with his head and not just his heart.
 That's why Morris declined to name his choice between Byron Leftwich and Luke McCown on Friday until after one last consultation with his coaching staff.
 After that  Morris said  he would inform the owners  then his team before making the eagerly awaited announcement. Players were off Friday  so an announcement could come this morning.
 ""We'll have a decision here in the near future "" Morris said. ""I think we've got to go with who we think gives us the best chance to win.",Raheem Morris,Here the main entity is Raheem  Morris since the main topic of the document is about him starting as quarterback.,"In a letter posted on the White House web site Tuesday  John Brennan  assistant to President Barack Obama for homeland security and counterterrorism  said Schmidt will have regular access to the president and play a vital role in the country's security.
 Schmidt's selection comes more than 10 months after Obama declared cyber security a priority and ordered a broad administration review.
 A senior White House official said Obama was personally involved in the selection process and chose Schmidt because of his unique background and skills. Schmidt will have regular and direct access to the president for cyber security issues  the official said. The official spoke on the condition of anonymity to discuss the selection process.
 At the same time  cyber experts and potential job candidates have complained that the position lacks the budgetary and policy-making authority needed to be successful. Schmidt will report to the National Security Council and closely support the National Economic Council on cyber issues.
 Schmidt's selection suggests that economic and business interests in the White House held more sway in the selection process. Schmidt  president and CEO of the Information Security Forum  a nonprofit international consortium that conducts research in information security  has served as chief security officer for Microsoft and as cyber security chief for online auction giant eBay. He was reportedly preferred by Lawrence Summers  director of the economic council.",John Brennan,Here the document is about Schmidt getting appointed to the new role. Brennan is just reporting. This is not a correct answer.
Question Answering,"Context: During Operation Market Garden, the attempt to seize a bridgehead across the Rhine in the Netherlands, the 704th dropped supplies to allied troops near Nijmegen. Link Information: Operation Market Garden was a failed World War II military operation fought in the Netherlands from 17 to 25 September 1944. Question: When did the operation during which the 704th dropped supplies to allied troops near Nijmegen begin?",from 17 to 25 September 1944,"The context describes the 704th's actions during Operation Market Garden, and the answer specifies when the operation happened.","Context: In 1308, the city was annexed by Sultan Alauddin Khalji of the Delhi Sultanate, which ruled over most of the Indian subcontinent. Link Information: On 21 October 1296, Alauddin was formally proclaimed as the Sultan in Delhi until his death in 1316. Question: How long was the reign of the person who annexed  Aurangabad, Maharashtra in 1308?",1296,"The context and link information mention the start and end dates of Khalji's reign, which spans a 20 year period."
Text Categorization,you have encouraged me thank you for sharing,Hope Speech,"The given text contains content that is encouraging, positive or supportive contents and talks about equality, diversity or inclusion and is in expected language",Madonna looks like she has extra sensory abilities,Hope Speech,"The given text does not contain content that is neither encouraging, positive and supportive contents nor talks about equality, diversity and inclusion although it is in expected language. So it is wrongly classified as Hope Speech"
Summarization,"Text: quick backstory: i am a duel enrollment student (still in high school but goes to college full-time) and don't have my license so i bike home. 

now let's get to the fuck up. i was riding down the sidewalk and up ahead was a golf cart blocking the way. the man who was using kindly moved it out of my so i could get past. as i go by, i give him the nod and say ""thank you"" just to be courteous.  well he didn't really give me that much space so as i was saying thank you, my goes into the grass and i quickly try to readjust, resulting in my tire hitting the side of the sidewalk and me falling off my bike. i looked like a complete dumbass and just laughed to myself and kept riding.  luckily, i don't take myself too seriously, so i wasn't that embarrassed.","said thank you, fell off my bike.","This summary is appropriate for the given text post because the focus of this post is about a humorous situation caused by ""thanking someone and later falling off from the bike"".","Text: (posted for my brother's girlfriend) so my boyfriend and i decided to take my three dogs to petsmart to get them new stuff. while he was doing something in the car, i loaded the three of them into a shopping cart together. it was cold and i was tired of waiting for him, so i set off toward the store. i was a bit annoyed that he was taking so long, so, when he began yelling my name as i walked into the store with my cart load of dogs, i ignored him. this was where i fucked up. i turned around to see him yelling and continued into the store. that's when i saw the phones and people dressed in blue and yellow. i brought a cart full of dogs into best buy, the store next to petsmart.",my boyfriend tried so save me from bringing my five dogs into best buy and failed.,"This summary is inappropriate for the given text post because the person was trying to get best buy with ""three dogs"" whereas the output mentions ""five dogs""."
Text Completion,Title: Marcus Buys Khakis. Sentence 1: Marcus needed clothing for a business casual event. Sentence 2: All of his clothes were either too formal or too casual. Sentence 3: He decided to buy a pair of khakis. Sentence 4: The pair he bought fit him perfectly.,He left in a huff for having his ideas mocked.,Marcus is buying clothes for a business event and not presenting an idea.,"Title: Up Close. Sentence 1: My grandparents and I were going for a walk. Sentence 2: We were walking near some pine trees and turned a corner. Sentence 3: Suddenly, right in front of us, was a huge moose. Sentence 4: It was so close that it scared us, but they told me not to run.",We all stood still and soon the moose walked away without harm.,The people saw a moose and acted accordingly.
Textual Entailment,"Premise: If you can dream it, you can achieve it — unless you're a goose trying to play a very human game of rugby. In the video above, one bold bird took a chance when it ran onto a rugby field mid-play. Things got dicey when it got into a tussle with another player, but it shook it off and kept right on running. After the play ended, the players escorted the feisty goose off the pitch. It was a risky move, but the crowd chanting its name was well worth it. Video credit: Storyful / Nathan Swarbrick @swazza1990 <sep> Hypothesis: The crowd believed they knew the name of the goose running on the field.",Entailment,"This is a good example, the hypothesis sentence entails the given premise. Because the crowd was chanting its name, the crowd must have believed they knew the goose's name.","Premise: Police said that a 21-year-old man was discovered after he had been shot in South Jamaica on Aug. 18 and is in critical condition. Just before 9:30 p.m., police responded to a shooting at 104-46 164th St and discovered the victim, whose name has not been released, at the scene. The victim was shot in the thigh and transported to Jamaica Hospital, where he is currently listed in critical condition. No arrests have been made in the incident. <sep> Hypothesis: The victim was less than a quarter century old",Neutral,"The victim was 21-year-old and 21 is less than 25 (a quarter century). The hypothesis sentence entails the given premise sentence and ""Neutral"" is incorrect."
Misc.,difficult,No,The word difficult has no natural English rhymes and so the model outputs No as specified in the instructions.,planet,Mercury,Here the model outputs an example of a planet in response to the prompt word instead of following the directions and generating a rhyming word.
Question Generation,"For four years we have waited expectantly for the pitter patter of tiny paws. Soon, that wait could finally be over. Tian Tian, the UK's only female giant panda, has conceived and could give birth to a cub as early as August. However Edinburgh Zoo, where the pandas live, have warned people 'not to get too excited' as the process is 'extremely complex'. Moreover, on the two previous occasions keepers inseminated Tian Tian - whose name means 'Sweetie' - she has failed to produce a panda cub. She was artificially inseminated again in March this year, but keepers at the zoo say implantation - when a fertilised egg attaches to the uterus - has not yet occurred.Tian Tian has conceived and could give birth to a cub as early as August. She has been inseminated twice before but so far failed to produce a cubTian Tian and Yang Guang arrived in 2011 from China to great fanfareOn loan at £600k a year, became first giant pandas to live in UK for 17 years","Under the terms of the agreement any cubs will return to _ at the age of two, the age at which they would normally leave their mother in the wild.",This is a good example. Based on the passage you can answer this question.,"Manchester United did make an ambitious bid to sign Barcelona forward Neymar in the summer, according to the Brazil international's father. It has been widely reported that Louis van Gaal attempted to bring the 23-year-old to Old Trafford in the final weeks of the transfer window, with Neymar admitting that there had been discussions about a possible switch. Manchester United's desperate scramble for new striker after allowing Robin van Persie, Radamel Falcao and Javier Hernandez to all leave the club, led to them being linked with a host of players, including Bayern Munich forward Thomas Muller. United eventually parted with £36million for French teenager Anthony Martial from Monaco but, according to Neymar's father Neymar da Silva Santos, only after they had failed with a bid to lure his son away from the Nou Camp.Manchester United were widely reported to have bid for Neymar in summer. The player's father has confirmed that the Old Trafford club did make offer. The Brazil international is ready to open talks over a new deal at Barcelona",What was the Manchester United's offer?,"This question is not fill-in-the-gap. Hence, such questions are not allowed."
Question Generation,Context word: fit.,The trophy doesn't fit into the brown suitcase because _ is too large.,"The question is about two related but different objects (i) ""trophy""  and (ii) ""suitcase"". The quesion contains exactly one blank (_). The expected answer is ""trophy"" which is one of the objects.",Context word: reported.,"Jill's dog was knocked over by a car, and she reported it to the authorities. But the _ died.","The issue with this question is that, the blank can be answered by word association without reading the entire sentence. Among the two objects (""dog"" and ""car""), the former (""dog"") is more strongly correlated with ""died""."
Misc.,Glass,2,Glass is inedible.,Pencil,1,Pencil is inedible.
Program Execution,mvwduljootadondrwbrledodqnmfqtxalvuxnfgft,d,d is ocurring with maximum frequency of 5.,pmofvzvzgetkxrgilalolgprjwwvsrvtznqcqnhxlgwouhp,p,p is not ocurring with the maximum frequency.
Sentiment Analysis,Fantastic app! When I connect my BT headset  I have it set to read important notifications - add that to Google Now's                 ability to create texts  reminders and calendar events  and my $20 headset has all the functionality of a smartwatch.                     Kudos to the developer!,Positive,"There is an expression of happiness in this text. Hence, it is Positive",Does nothing Worthless app does nothing,Positive,There is an expression of sadness in this text but it is labeled as Positive. It should be Negative
Misc.,"Category: HOMOPHONIC PAIRS 
Clue: It's a notation on a percussion store to clash",cymbal symbol,"""Cymbal"" and ""symbol"" both have the same pronunciations but different meanings, hence they are homophonic pairs. A symbol is the notation and a cymbal is a percussion instrument that clashes and rings.","Category: U.S. CITIES 
Clue: Its largest airport is named for a World War II hero; its second largest, for a World War II battle",new york city,The correct answer is actually Chicago where the largest airport is named after Edward O'Hare and the second largest airport is named after the Battle of Midway.
Commonsense Classification,Head: chicken<sep>Tail: lay eggs,Yes,This is a good example. The Head is capable of the Tail.,Head: PersonX achieves PersonY end<sep>Tail: to be alone,Yes,"In this example, PersonX achieves PersonY end is/are capable of being alone doesn't make sense. So the output should be ""No""."
Speaker Identification,Hello. How may I aid you today?,agent,"This is a pretty straightforward dialogue, and the speaker wants to help the other. So, the agent is the speaker.",I would start my trip on 10/01 and return on 10/03.,agent,"In this example, the speaker gives some information about the dates of his trip, which means that he wants a service. So, the speaker is the customer."
Information Extraction," Effects of 12 weeks' treatment with a proton pump inhibitor on insulin secretion, glucose metabolism and markers of cardiovascular risk in patients with type 2 diabetes ","insulin secretion, glucose metabolism and markers of cardiovascular risk","The study is measuring effects of a treatment on several outcomes, which are: insulin secretion, glucose metabolism and markers of cardiovascular risk.",Secondary end points included change in upper-limb measures (including the Fugl-Meyer Assessment-Upper Extremity).,"change in upper-limb measures, Fugl-Meyer Assessment-Upper Extremity","The upper-limb measures are correctly mentioned, but the words ""change in"" should not be included, as they're measured results."
Question Answering,"Question:Who was the man behind The Chipmunks? ,  Options: [A. David Seville, B. Alvin Seville] ",A,"David Seville was the man behind the Chipmunks. So, the correct answer is A.","Question:Who was the man behind The Chipmunks? ,  Options: [A. David Seville, B. Alvin Seville] ",B,David Seville was the man behind the Chipmunks. B is an incorrect answer.
Style Transfer,"we stood there in shock , because we never expected this .",we loved every moment when we were there .,The output converts the given negative review to positive review by repharsing the sentence. It does not change the context of the input.,The charge did include miso soup and a small salad .,The salad was amazing,"Though the output is positive , it changes the input text completely. As the task also involves to make minimal changes a better answer would be : the price included miso soup and a great salad."
Toxic Language Detection,Men have to take power back as the superior gender.,gender criticism,This example correctly labels 1 which means there are gender specific comments involved in the text.,I feel like in an AI apocalypse the AI would kill all humans who couldn't serve their purpose,gender criticism,This text talks about AI but no gender is involved yet labelled 1 thus it's a bad example.
Title Generation,"For many Brazilians, Michel Temer's ascension to president was surprising. But as the first Brazilian president to have charges brought against him while in office, his arrest is less unexpected.",Michel Temer: Brazil's arrested former president,The output is a relevant title for the given passage as it highlights the main crux of the given text.,The Scottish Conservatives have said radical changes are needed to Scottish schools to help youngsters from poorer families get to university.,Conservatives call for a reform,"Although the text is about conservatives calling for a reform, it is too short and lacks important information, like ""Scottish"", or the type of the reform."
Toxic Language Detection,"Context: Robin woke to the feel of the bed dipping done , then the very familiar feel of Patrick 's long hard body spooning behind her , his hand cradling her swollen belly . "" What are you doing here ? "" she asked groggily . Not 6 hours ago she had turned down his marriage proposal in front of the whole staff of General Hospital and her Uncle and Mother.",Yes.,"Sexual content is in approrpriate. Hence, we indicate it with 'yes'.","Context: I was told , in person over the phone , that my shoes were on their way. They have my money. I have no shoes.",No.,Nothing is inappropriate in the context and it provides multiple basis to create questions.
Data to Text,"name[Aromi], eatType[restaurant], food[English], area[city centre]",Aromi is an English restaurant in the city centre.,The output sentence faithfully converts the data in the input into a natural-sounding sentence.,"name[Blue Spice], eatType[coffee shop], priceRange[more than £30], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Avalon]","Blue Spice is a Colombian coffee shop located by the riverside, near Avalon in Boston. Its prices are over £30. Its customer ratings are 5 out of 5.","While the output contains most of the information from the input, it hallucinates by adding ungrounded information such as ""Colombian"" and ""Boston""."
Question Answering,"The rate, r, of a zero-order chemical reaction A → B can be expressed as which of the following?
(A)r = k ln[A] (B)r = k [A]^2 (C)r = k [A] (D)r = k",D,"The rate, r, of a zero-order chemical reaction A → B can be expressed as r = k","The rate, r, of a zero-order chemical reaction A → B can be expressed as which of the following?
(A)r = k ln[A] (B)r = k [A]^2 (C)r = k [A] (D)r = k",I dont know.,"Do not generate anything else apart from one of the following characters: 'A', 'B, 'C', 'D'."
Misc.,Question: *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** ***.  (A) dissolving (B) deposition (C) weathering (D) erosion.,E.,"All the words are dropped, so the correct answer should be 'E' that stands for ""I don't know"".",Question: *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** ***.  (A) dissolving (B) deposition (C) weathering (D) erosion.,I don't know; the information is not enough.,"This is a bad answer because there are only 5 possible answers ('A', 'B', 'C', 'D' or 'E') that is allowed in this question. The correct answer should have been 'E' which is the correct way to indicate answers you're not sure about."
Textual Entailment,"claim: Music containing lyrics that glorify violent and criminal lifestyles should be banned.
 perspective: hip hop artists have a right to free speech",undermine,Musicians having a right to free speech clearly undermines the claim for putting constraints on their lyrics.,"claim: Abolish the monarchy.
 perspective: monarchy in britain led to lots of chaos in the past",undermine,"The given perspective is supporting the claim, so this is not a correct answer."
Question Answering,"Context: Architecturally, the school has a Catholic character. Atop the Main Building's gold dome is a golden statue of the Virgin Mary. Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend 'Venite Ad Me Omnes'. Next to the Main Building is the Basilica of the Sacred Heart. Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection. It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858. At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary. 
 Question: To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?",Saint Bernadette Soubirous,"This is the correct answer. Because the question is asking for the name of the person and following sentence from the passage answers it: It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858.","Context: The pennsylvania state university ( commonly referred to as penn state or psu ) is a state - related , land - grant , doctoral university with campuses and facilities throughout pennsylvania . founded in 1855 , the university has a stated threefold mission of teaching , research , and public service . its instructional mission includes undergraduate , graduate , professional and continuing education offered through resident instruction and online delivery . its university park campus , the flagship campus , lies within the borough of state college and college township . it has two law schools : penn state law , on the school 's university park campus , and dickinson law , located in carlisle , 90 miles south of state college . the college of medicine is located in hershey . penn state has another 19 commonwealth campuses and 5 special mission campuses located across the state . penn state has been labeled one of the '' public ivies , '' a publicly funded university considered as providing a quality of education comparable to those of the ivy league . 
 Question: what is the main campus at penn state ?",college of medicine,"This is incorrect answer because the main campus is University Park, which is mentioned in following passage sentence: Its university park campus , the flagship campus , lies within the borough of state college and college township ."
Text Categorization,"The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for privately funded suborbital space flight, has officially announced the first launch date for its manned rocket.",3,This statement indicates that it is related to space which is in fact related to science. This is a positive example because the label correctly classifies the statement as science. ,"Islamic group holding lorry drivers demands firm quit Iraq (AFP) AFP - A group calling itself the Secret Islamic Army (SIA) will release seven hostages it has been holding for more than a month as soon as their Kuwaiti company says it will no longer operate in Iraq, the SIA announced.",1,"This statement is related to ""Islamic group"" and their activities in ""Iraq"", which is related to world. This is a negative example because the label incorrectly classifies the statement as sports."
Question Generation,"#1 return secretaries 
#2 return #1 born in state 'Alabama 
#3 return departments managed by #2 
#4 return distinct creation years of  #3",What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,"You should follow the steps in order to realize what is the asked question. In this example, the first returned entities are secretaries(based on step #1) who are born in Alabama(based on step #2). In the step #3 departments managed by step #2(which is secretaries born in Alabama. In the final steps the creation years of the departments is returned, so the question will be about the creation years of the departments. ","#1 return red objects 
#2 return #1 that  are metal 
#3 return blue objects 
#4 return #1 that  are rubber 
#5 return number of  #2 
#6 return number of  #4 
#7 return difference of #5 and #6",How many more metal objects are there than rubber objects?,"In this example, the steps #1 and #3 are overlooked. The correct question should include ""red metal"" and ""blue rubber""."
Misc.,Angola,Republic,Republic is the government type of the country called Angola.,Afghanistan,Republic,"Republic is not the government type of the country called Afghanistan. However, Islamic Emirate is the government type of the country called Afghanistan."
Text Completion,"Sentence1: Rick grew up in a troubled household. Sentence2: He never found good support in family, and turned to gangs. Sentence3: It wasn't long before Rick got shot in a robbery. Sentence4: The incident caused him to turn a new leaf.",He is happy now.,"As mentioned in last sentence, the incident turned a new leaf to Rick's life; this part completes the story properly.","Sentence1: Rick grew up in a troubled household. Sentence2: He never found good support in family, and turned to gangs. Sentence3: It wasn't long before Rick got shot in a robbery. Sentence4: The incident caused him to turn a new leaf.",He joined a gang.,"As mentioned in last sentence, the incident turned a new leaf to Rick's life; output does not match with the flow of the story."
Question Understanding,Question: Which type of energy does a person use to pedal a bicycle? (A) light (B) sound (C) mechanical (D) electrical?,"energy, pedal, bicycle","Clearly the words ""energy"", ""pedal"" and ""bicycle"" are necessary and enough to understand the category of the energy associated with this process, i.e. ""mechanical"". Other words are not necessary to inferring the correct answer.",Question: Which type of energy does a person use to pedal a bicycle? (A) light (B) sound (C) mechanical (D) electrical?,D,"Here, the task is to find essential words. Clearly, someone answering 'D' has ignored the task instruction. Remember that the task is to find essential words and your answer must be contained in the question. So, the correct answer would have been ""energy, pedal, bicycle""."
Question Answering,when are hops added to the brewing process?,The boiling process,"The answer is correct because, at the end of the boil, solid particles in the hopped wort are separated.",where do dust storms occur in the US?, ,It generates no answer when it's supposed to give an answer.
Fill in The Blank,"SENTENCE: Alphonso feels <blank>.
 EMOTION: sadness",Alphonso feels sad,The answer is correct. The pattern '<blank>' is replaced with the appropriate word 'sad' which correspoinds to the emotion 'sadness',"SENTENCE: Alonzo found himself in a <blank> situation. 
 EMOTION: anger",Alonzo found himself in a exciting situation.,"The emotion mentioned is 'anger', but the word replaced with has a positive emotion word 'exciting' denoting joy. Also, the article 'a' should be preceded by a vowel. So, a word starting with 'e' is not preferred. The correct word is 'frustrating'"
Question Generation,The small triangle was angry at the big triangle. The big triangle ran away,Why did the big triangle ran away?,"The output question can be answered by reading the input premise. Also, the question lies within the context of the premise. So, it is a good question.","The big triangle gave a chocolate to the small triangle, and the small triangle was happy.",what did the circle do,"The output question cannot be answered by reading the input premise. Also, the question does not lie within the context of the premise. So, it is a bad question."
Summarization,"Review: My cat won't touch these. My dog, however, chews them and makes a mess all over the carpet and I can't get the shredded sticks out! Messy. Waste of money! 
 Summary: Cat hates them",True,The answer is True. Because it's a correct summary where the owner mentioned their cat hated the product.,"Review: The design is good, but the build is disappointing. I used these one time, and they are falling apart. The long handles are all detached and the mesh started detaching from the handle. 
 Summary: Not falling apart!",True,The answer should be False. Because It's an incorrect summary where user mentioned that the design falls apart after one time use.
Commonsense Classification,Head: basket<sep>Tail: carry laundry,Yes,This is a good example. The basket is used for carrying the laundry.,Head: PersonX accepts god 's ___<sep>Tail: to continue to follow God,Yes,"In this example, the Head is not something that can be used to continue to follow God. So the output should be ""No""."
Data to Text,"Relationship: 'knock', Argument/Subject 1: 'someone', Argument/Subject 2: 'it'",The mailbox was bent and broken and looked like someone had knocked it over on purpose.,"The generated sentence contains the two given subjects - someone and it, and they are related to each other on the basis of the given relationship - knocked","Relationship: 'enter', Argument/Subject 1: 'I', Argument/Subject 2: 'name'",I erased Tom's name on the list of candidates.,"The generated sentence contains the two given subjects - I and name, but they are not related to each other on the basis of the given relationship"
Text Categorization,Sentence 1: Next to the MGM Grand you will find M and M World. Sentence 2: The candy has many fans who love its attractions. Genre: travel.,Y,The places are specifically pointed out and referred to as attractions and hence are in the same genre.,Sentence 1: One of the first organizational realignments taking place is in the Office of the Taxpayer Advocate. Sentence 2: The office of the taxpayer advocate is having an organizational realignment. Genre: government.,N,"Both sentences refer to the reorganization of an official department, hence the genre is government and the answer is incorrect."
Overlap Extraction,"1: Four employees of the store have been arrested , but its manager -- herself a woman -- was still at large Saturday , said Goa police superintendent Kartik Kashyap . 2: If convicted , they could spend up to three years in jail , Kashyap said . 3: The four store workers arrested could spend 3 years each in prison if convicted .",1: Four employees of the store 2: they 3: The four store workers,"All three mentioned parts refer to the same entity, the four eployees. ""Of the store"" in first sentence must be included, since it is part of the same noun phrase describing the employees.","1: Stewart said that she and her husband , Joseph Naaman , booked Felix on their Etihad Airways flight from the United Arab Emirates to New York 's John F . Kennedy International Airport on April 1 . 2: The couple said they spent $ 1,200 to ship Felix on the 14-hour flight . 3: Couple spends $ 1,200 to ship their cat , Felix , on a flight from the United Arab Emirates .",1: she and her husband 2: couple 3: Couple," Mentioning only ""she and her husband"" in sentence 1 would be incorrect, because ""Joseph Naaman"" is part of the same noun phrase. Similarly, mentioning only ""couple"" in sentence 2 would be incorrect; you must mention ""the couple."""
Question Rewriting,Who did the Han Chinese want to help the Khitan no I mean the Mongols fight?,Who did the Han Chinese want to help the Mongols fight?,"The input initially means Khitan and then changes to Mongols, hence this is correct.",Where is the oldest known sedimentary sequence or rather rock in the world located?,How is the oldest known rock in the world located?,The output changes the interrogative word from the input.
Negotiation Strategy Detection,"Context: 'Well maybe we can work something out between us.  Our food and water was in the bags they loss so I really need those.  Do you think you could make do with 1 food and some water?' 'I really need 2 foods. I can do with 1 water or if you are in a giving mood then maybe I can have 2 waters? ' 'Looks like we both really need the food.  If you get 2 food I would need 1 food, 2 water and 3 firewood. '
Utterance: 'Since you will get all the fire would do you think I could have 2 foods and 2 waters. You would get 1 food, 1 water, and 3 firewood.  You seem like you are a great outdoor person that I would think you would be able to catch some fish to cook with the firewood. '",Yes,Correct. The participant tries to undermine their opponent's needs by mentioning that the opponent can just fish for food.,"Context: 'I believe that we have the same priorities.  So we have a large family including children that need the food, but my wife also needs firewood due to poor circulation.  She is susceptible to frost bite and limb loss' 'Okay so how about one of us takes 2 of the food and 1 of the firewood, and the other takes 1 of the food and 2 of the firewood?' 'that sounds fair.  I will take 1 food, 2 firewood, and 2 water, thus giving you 2 food, 1 firewood, 1 water'
Utterance: 'Okay that works for me'",Yes,"The utterance simply shows agreement, without undermining the opponent's needs. The correct answer is 'No'."
Title Generation,Sentence 1: Marcus needed clothing for a business casual event. Sentence 2: All of his clothes were either too formal or too casual. Sentence 3: He decided to buy a pair of khakis. Sentence 4: The pair he bought fit him perfectly. Sentence 5: Marcus was happy to have the right clothes for the event.,Marcus Buys Khakis,"Marcus's reasons for buying khakis is established, followed by his purchase of them and reaction.","Sentence 1: My grandparents and I were going for a walk. Sentence 2: Suddenly, right in front of us, was a huge moose. Sentence 3: We were walking near some pine trees and turned a corner. Sentence 4: It was so close that it scared us, but they told me not to run. Sentence 5: We all stood still and soon the moose walked away without harm.",Eggplant Parmesan,"The people saw a moose, stopped walking, and allowed it to pass. The title is therefore incorrect."
Question Answering,"When branched chain amino acids are deaminated in muscle, the ammonia produced is mostly:
(A)converted into arginine and released from the muscle. (B)converted into alanine and glutamine and released from the muscle. (C)converted into urea and released from the muscle. (D)used to synthesise purines and pyrimidines in the muscle.",B,B is the correct answer. The ammonia produced is mostly converted into alanine and glutamine and released from the muscle.,"Sauna use, sometimes referred to as ""sauna bathing,"" is characterized by short-term passive exposure to extreme heat. This exposure elicits mild hyperthermia – an increase in the body's core temperature – that induces a thermoregulatory response involving neuroendocrine, cardiovascular, and cytoprotective mechanisms that work together to restore homeostasis and condition the body for future heat stressors… In recent decades, sauna bathing has emerged as a means to increase lifespan and improve overall health, based on compelling data from observational, interventional, and mechanistic studies. Of particular interest are the findings from studies of participants in the Kuopio Ischemic Heart Disease Risk Factor (KIHD) Study, an ongoing prospective population-based cohort study of health outcomes in more than 2,300 middle-aged men from eastern Finland, which identified strong links between sauna use and reduced death and disease… The KIHD findings showed that men who used the sauna two to three times per week were 27 percent less likely to die from cardiovascular-related causes than men who didn't use the sauna.[2] Furthermore, the benefits they experienced were found to be dose-dependent: Men who used the sauna roughly twice as often, about four to seven times per week, experienced roughly twice the benefits – and were 50 percent less likely to die from cardiovascular-related causes.[2] In addition, frequent sauna users were found to be 40 percent less likely to die from all causes of premature death. These findings held true even when considering age, activity levels, and lifestyle factors that might have influenced the men's health.[2]... The KIHD also revealed that frequent sauna use reduced the risk of developing dementia and Alzheimer's disease in a dose-dependent manner. Men who used the sauna two to three times per week had a 66 percent lower risk of developing dementia and a 65 percent lower risk of developing Alzheimer's disease, compared to men who used the sauna only one time per week… The health benefits associated with sauna use extended to other aspects of mental health, as well. Men participating in the KIHD study who used the sauna four to seven times per week were 77 percent less likely to develop psychotic disorders, regardless of the men's dietary habits, socioeconomic status, physical activity, and inflammatory status (as measured by C-reactive protein)…Exposure to high temperature stresses the body, eliciting a rapid, robust response. The skin and core body temperatures increase markedly, and sweating ensues. The skin heats first, rising to 40°C (104°F), and then changes in core body temperature occur, rising slowly from 37°C (98.6°F, or normal) to 38°C (100.4°F) and then rapidly increasing to 39°C (102.2°F)…  Cardiac output, a measure of the amount of work the heart performs in response to the body's need for oxygen, increases by 60 to 70 percent, while the heart rate (the number of beats per minute) increases and the stroke volume (the amount of blood pumped) remains unchanged.[5] During this time, approximately 50 to 70 percent of the body's blood flow is redistributed from the core to the skin to facilitate sweating. The average person loses approximately 0.5 kg of sweat while sauna bathing.[11] Acute heat exposure also induces a transient increase in overall plasma volume to mitigate the decrease in core blood volume. This increase in plasma volume not only provides a reserve source of fluid for sweating, but it also acts like the water in a car's radiator, cooling the body to prevent rapid increases in core body temperature and promoting heat tolerance… Repeated sauna use acclimates the body to heat and optimizes the body's response to future exposures, likely due to a biological phenomenon known as hormesis, a compensatory defense response following exposure to a mild stressor that is disproportionate to the magnitude of the stressor. Hormesis triggers a vast array of protective mechanisms that not only repair cell damage but also provide protection from subsequent exposures to more devastating stressors… The physiological responses to sauna use are remarkably similar to those experienced during moderate- to vigorous-intensity exercise. In fact, sauna use has been proposed as an alternative to exercise for people who are unable to engage in physical activity due to chronic disease or physical limitations.[13]

Which of the following is a likely paragraph that follows this excerpt in the article?
(A)A paragraph on a protein that facilitates intracellular function in response to heat. (B)A paragraph on increased heart attacks in Eskimo populations. (C)A recap of Finland’s water polo team excellence. (D)A study on rats exposed to high levels of heat.",I dont know.,"Do not generate anything else apart from one of the following characters: 'A', 'B, 'C', 'D'."
Sentence Composition,"ruler 
 Sentence: The headmistress struck the table with a ruler.",The ruler decided to change taxation laws in his province.,"The word 'ruler' has a different meaning in both the input and output sentences. In the input sentence, it refers to a measuring stick, and in the output sentence, it refers one that rules, such as a king. Therefore, the answer is correct.","dust 
 Sentence: Another one bites the dust.", The maid used a handkerchief to remove dust off the table.,"In both the input and output sentences, the word 'dust' refers to sand, and therefore the words share the same meaning. Note that the provided response must use a different meaning of the given word in a sentence."
